solo_Wins,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_WinRatio
3,255.36,1.94,2.59,17.65
6,393.04,1.82,3.61,18.18
0,329.76,1.0,3.6,0.0
4,751.95,1.0,7.0,50.0
2,637.48,2.0,7.0,33.33
5,411.95,1.38,3.94,31.25
12,284.57,1.94,2.24,8.45
5,238.4,1.53,2.0,26.32
6,339.44,1.52,3.18,13.64
2,372.38,1.12,3.12,25.0
7,325.38,1.38,2.93,6.03
4,144.5,1.21,1.18,1.19
9,436.99,1.92,4.0,10.34
4,290.98,1.58,2.46,5.56
3,327.68,1.65,3.13,13.04
1,370.65,0.67,3.33,33.33
38,319.88,1.68,2.58,23.03
12,460.9,1.66,4.12,18.46
6,422.42,1.25,4.12,37.5
2,285.22,1.04,2.38,4.44
7,381.97,2.67,3.71,12.73
4,260.27,1.18,2.31,8.89
3,348.39,1.89,3.44,33.33
2,337.68,1.0,3.07,14.29
48,419.71,1.6,3.74,17.33
63,460.02,1.75,3.94,23.77
4,232.01,0.94,2.01,5.19
3,254.07,1.9,2.25,5.77
3,218.11,1.57,1.89,5.36
2,241.88,1.27,2.09,9.09
2,341.3,2.23,2.92,15.38
2,280.21,1.35,2.58,7.69
44,292.18,2.67,2.5,16.24
4,384.65,1.8,3.57,11.43
4,487.82,1.36,5.09,36.36
3,364.32,0.72,3.35,5.56
8,507.62,1.1,4.71,16.33
5,196.16,1.34,1.76,3.85
2,382.89,1.9,3.76,9.52
3,284.64,1.51,2.43,8.57
49,403.4,1.98,3.56,18.15
4,494.12,2.38,5.38,50.0
2,282.04,0.62,2.75,25.0
4,223.8,1.6,1.94,7.69
6,413.29,2.42,3.53,16.67
5,243.2,1.74,2.14,3.76
8,340.98,1.17,3.08,13.33
2,429.0,0.88,4.12,25.0
3,329.73,0.76,2.81,14.29
3,253.69,0.97,2.1,9.68
43,252.84,2.64,2.11,13.87
4,334.28,1.08,2.92,10.26
8,337.31,1.39,3.02,13.56
42,205.95,1.36,1.77,11.86
2,319.89,1.47,2.79,10.53
1,154.26,0.45,1.36,9.09
14,283.98,1.86,2.45,13.46
2,370.76,0.67,3.33,66.67
32,321.47,1.31,2.73,22.86
1,580.45,4.0,5.0,50.0
53,205.53,1.86,1.67,9.45
3,438.95,3.13,4.0,20.0
2,347.25,1.23,3.46,15.38
3,305.68,1.13,2.81,9.68
7,276.95,1.47,2.29,8.43
2,292.79,1.72,2.94,5.56
50,289.25,4.16,2.61,19.31
0,669.04,2.25,5.75,0.0
6,225.51,1.91,2.03,9.09
2,783.81,2.5,7.5,33.33
14,328.12,1.51,2.8,9.79
1,326.37,1.75,2.85,5.0
1,334.77,1.15,3.0,3.85
2,454.21,2.33,4.56,22.22
7,460.75,2.33,4.12,13.73
1,247.48,1.22,1.95,2.44
24,254.69,2.9,2.22,9.96
3,181.03,2.96,1.56,5.56
9,365.33,1.49,3.49,19.15
2,195.64,1.27,1.7,3.17
52,211.89,1.94,1.85,18.18
1,350.79,0.5,3.25,25.0
3,454.43,1.75,3.94,18.75
0,0.0,0.0,0.0,0.0
6,238.69,1.75,2.15,9.84
7,221.35,1.57,2.03,7.69
4,173.78,0.93,1.44,1.92
4,457.8,1.9,4.9,40.0
27,116.21,2.04,1.01,8.28
2,323.5,1.67,3.0,11.11
3,343.86,1.88,3.0,12.0
1,155.08,0.5,1.32,4.55
15,373.33,1.32,3.44,12.71
47,227.63,1.19,1.96,14.33
74,316.32,1.62,2.78,17.33
3,467.94,0.55,4.36,27.27
19,328.47,1.55,2.75,9.84
0,0.0,0.0,0.0,0.0
2,276.31,1.17,2.58,16.67
0,619.2,1.0,5.0,0.0
2,221.8,0.85,1.9,5.0
12,558.76,1.09,5.24,35.29
36,416.21,1.42,3.58,9.73
4,362.29,1.7,3.23,7.14
0,349.21,1.91,3.24,0.0
3,150.92,1.32,1.24,1.34
0,305.04,2.5,2.9,0.0
2,485.4,1.67,4.67,33.33
4,396.07,2.29,3.93,28.57
5,225.24,1.31,1.93,9.26
3,258.5,0.56,2.11,16.67
0,478.54,3.17,4.83,0.0
21,363.68,1.85,3.23,12.43
2,181.78,1.57,1.73,2.41
7,218.79,1.93,1.75,4.55
1,388.91,0.0,3.5,50.0
3,282.59,2.25,2.6,15.0
7,432.78,0.93,3.79,25.0
5,321.67,1.82,2.87,12.82
5,281.3,1.32,2.6,10.0
7,296.35,1.52,2.56,28.0
31,309.14,1.78,2.6,6.7
27,435.07,1.46,3.95,8.63
0,402.73,2.5,3.5,0.0
4,300.99,1.6,2.55,20.0
37,209.82,1.81,1.77,8.75
2,230.89,1.34,1.93,1.85
0,328.8,1.65,2.9,0.0
45,324.66,2.02,2.66,11.54
4,189.54,1.46,1.58,3.81
6,253.41,1.85,2.22,6.32
2,337.76,0.2,3.4,40.0
37,239.59,6.74,2.09,18.5
3,236.06,1.45,2.09,27.27
5,340.38,1.3,3.02,11.63
2,1028.75,1.5,8.5,100.0
3,315.7,1.08,2.77,3.45
2,270.94,1.45,2.12,6.06
4,225.13,1.0,1.93,9.09
2,341.46,1.2,3.25,10.0
3,330.03,1.14,2.95,13.64
5,254.5,2.44,2.14,8.47
5,272.26,2.66,2.3,9.43
15,325.29,0.8,2.69,25.42
1,197.0,2.72,1.65,1.75
20,246.89,1.33,2.06,12.27
74,396.46,1.22,3.83,28.14
2,108.81,0.58,0.87,1.27
