,tracker_id,solo_WinRatio,solo_Wins,solo_KillDeathRatio,solo_Rating,solo_KillsPg,solo_DamagePg,solo_HealsPg
0,4405,1.0,3,3.14,1559.78,2.59,255.36,1.94
1,8199,1.0,6,4.41,1884.53,3.61,393.04,1.82
2,4454,0.0,0,3.6,1255.92,3.6,329.76,1.0
3,7729,1.0,4,14.0,1798.7,7.0,751.95,1.0
4,0,1.0,2,10.5,1668.67,7.0,637.48,2.0
5,33313,1.0,5,5.73,2123.32,3.94,411.95,1.38
6,15585,0.0,12,2.45,2604.65,2.24,284.57,1.94
7,9454,1.0,5,2.71,1993.43,2.0,238.4,1.53
8,24029,0.0,6,3.68,2461.78,3.18,339.44,1.52
9,11289,1.0,2,4.17,1550.87,3.12,372.38,1.12
10,142394,0.0,7,3.12,2125.14,2.93,325.38,1.38
11,16256,0.0,4,1.2,2335.96,1.18,144.5,1.21
12,142401,0.0,9,4.46,2172.29,4.0,436.99,1.92
13,46547,0.0,4,2.6,2480.35,2.46,290.98,1.58
14,4486,0.0,3,3.6,1978.0,3.13,327.68,1.65
15,6931,1.0,1,5.0,1315.49,3.33,370.65,0.67
16,3833,1.0,38,3.35,2840.73,2.58,319.88,1.68
17,4404,1.0,12,5.06,2331.6,4.12,460.9,1.66
18,19925,1.0,6,6.6,2088.75,4.12,422.42,1.25
19,6455,0.0,2,2.49,2216.46,2.38,285.22,1.04
20,11729,0.0,7,4.25,2079.32,3.71,381.97,2.67
21,196013,0.0,4,2.54,2146.49,2.31,260.27,1.18
22,29218,1.0,3,5.17,1678.51,3.44,348.39,1.89
23,8040,0.0,2,3.58,1825.93,3.07,337.68,1.0
24,43458,1.0,48,4.52,2928.09,3.74,419.71,1.6
25,7513,1.0,63,5.16,2956.5,3.94,460.02,1.75
26,9142,0.0,4,2.12,2512.27,2.01,232.01,0.94
27,6180,0.0,3,2.39,2348.9,2.25,254.07,1.9
28,212886,0.0,3,2.0,2083.4,1.89,218.11,1.57
29,51329,0.0,2,2.3,1748.67,2.09,241.88,1.27
30,5118,1.0,2,3.45,1545.78,2.92,341.3,2.23
31,108625,0.0,2,2.79,2030.6,2.58,280.21,1.35
32,85012,1.0,44,2.99,2810.46,2.5,292.18,2.67
33,6603,0.0,4,4.03,2329.02,3.57,384.65,1.8
34,131513,1.0,4,8.0,1911.58,5.09,487.82,1.36
35,162887,0.0,3,3.55,2154.31,3.35,364.32,0.72
36,200738,1.0,8,5.63,2586.51,4.71,507.62,1.1
37,196291,0.0,5,1.83,2184.91,1.76,196.16,1.34
38,6108,0.0,2,4.16,1986.09,3.76,382.89,1.9
39,84821,0.0,3,2.66,2107.18,2.43,284.64,1.51
40,9339,1.0,49,4.35,2787.66,3.56,403.4,1.98
41,150672,1.0,4,10.75,1793.21,5.38,494.12,2.38
42,7997,1.0,2,3.67,1501.2,2.75,282.04,0.62
43,72040,0.0,4,2.1,2264.23,1.94,223.8,1.6
44,152251,1.0,6,4.23,2489.69,3.53,413.29,2.42
45,8993,0.0,5,2.23,2496.84,2.14,243.2,1.74
46,142407,0.0,8,3.56,2428.13,3.08,340.98,1.17
47,10410,1.0,2,5.5,1551.55,4.12,429.0,0.88
48,7363,0.0,3,3.28,1914.26,2.81,329.73,0.76
49,4096,0.0,3,2.32,1701.59,2.1,253.69,0.97
50,7520,0.0,43,2.45,2717.09,2.11,252.84,2.64
51,11600,0.0,4,3.26,2232.88,2.92,334.28,1.08
52,8195,0.0,8,3.49,2495.95,3.02,337.31,1.39
53,21602,0.0,42,2.01,2942.77,1.77,205.95,1.36
54,12066,0.0,2,3.12,1880.74,2.79,319.89,1.47
55,13518,0.0,1,1.5,1407.01,1.36,154.26,0.45
56,91273,0.0,14,2.83,2713.71,2.45,283.98,1.86
57,12845,1.0,2,10.0,1448.89,3.33,370.76,0.67
58,4119,1.0,32,3.54,2574.04,2.73,321.47,1.31
59,119501,1.0,1,10.0,1363.75,5.0,580.45,4.0
60,176602,0.0,53,1.85,2943.07,1.67,205.53,1.86
61,7918,1.0,3,5.0,2035.09,4.0,438.95,3.13
62,46576,1.0,2,4.09,1634.14,3.46,347.25,1.23
63,6491,0.0,3,3.11,1986.27,2.81,305.68,1.13
64,16995,0.0,7,2.5,2298.02,2.29,276.95,1.47
65,11913,0.0,2,3.12,2236.26,2.94,292.79,1.72
66,151480,1.0,50,3.23,2909.94,2.61,289.25,4.16
67,5112,0.0,0,5.75,1407.06,5.75,669.04,2.25
68,42572,0.0,6,2.23,2464.89,2.03,225.51,1.91
69,149581,1.0,2,11.25,1629.62,7.5,783.81,2.5
70,182032,0.0,14,3.11,2491.93,2.8,328.12,1.51
71,135262,0.0,1,3.0,1491.55,2.85,326.37,1.75
72,25386,0.0,1,3.12,1656.24,3.0,334.77,1.15
73,4455,1.0,2,5.86,1668.06,4.56,454.21,2.33
74,27789,0.0,7,4.77,1905.22,4.12,460.75,2.33
75,31408,0.0,1,2.0,2204.07,1.95,247.48,1.22
76,142395,0.0,24,2.47,2788.36,2.22,254.69,2.9
77,33012,0.0,3,1.65,2186.1,1.56,181.03,2.96
78,8313,1.0,9,4.32,1841.76,3.49,365.33,1.49
79,42246,0.0,2,1.75,2322.49,1.7,195.64,1.27
80,14234,1.0,52,2.26,2967.09,1.85,211.89,1.94
81,18360,1.0,1,4.33,1447.37,3.25,350.79,0.5
82,101689,1.0,3,4.85,1946.68,3.94,454.43,1.75
83,182398,0.0,0,0.0,1149.23,0.0,0.0,0.0
84,8030,0.0,6,2.38,2362.39,2.15,238.69,1.75
85,127596,0.0,7,2.2,2599.14,2.03,221.35,1.57
86,212903,0.0,4,1.47,2308.95,1.44,173.78,0.93
87,12710,1.0,4,8.17,1799.1,4.9,457.8,1.9
88,14350,0.0,27,1.1,2956.39,1.01,116.21,2.04
89,28396,0.0,2,3.38,1684.4,3.0,323.5,1.67
90,7410,0.0,3,3.41,2013.66,3.0,343.86,1.88
91,4043,0.0,1,1.38,1447.32,1.32,155.08,0.5
92,6985,0.0,15,3.94,2388.88,3.44,373.33,1.32
