duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
6.5,33.33,5,2054.7,569.6,2.33,4.33,6387.27,0.13,1460.92,9,2686
4.56,35.71,5,2097.88,338.88,1.93,2.93,6868.74,0.14,1268.96,9,2763
6.55,35.29,6,2119.67,527.8,1.65,4.24,5839.7,0.12,1379.37,10,2777
8.0,66.67,2,1557.9,434.13,0.33,2.67,6206.07,0.33,1398.79,7,1309
5.03,25.71,27,2362.55,428.62,1.9,3.73,5662.43,0.25,1357.82,15,1952
2.94,14.67,11,2226.39,305.34,1.87,2.51,3983.75,0.25,1115.48,15,2845
3.46,23.31,38,2589.46,355.47,3.13,2.66,7097.9,0.23,1481.15,14,3487
2.82,18.52,5,1949.38,288.64,2.26,2.3,3981.88,0.15,1123.61,8,1609
3.16,13.64,3,1990.98,339.02,2.95,2.73,3911.32,0.09,1090.14,12,1646
4.0,17.65,3,1704.17,370.03,1.47,3.29,3190.38,0.0,1019.09,10,1399
3.79,11.46,11,2286.7,414.17,1.79,3.35,3760.61,0.21,997.3,15,3183
1.35,3.19,9,2128.36,172.81,1.46,1.3,2546.09,0.19,802.83,11,3749
4.73,24.49,12,2315.49,441.51,1.98,3.57,5616.87,0.37,1150.54,13,3150
2.47,12.82,10,2281.74,262.97,2.05,2.15,5708.88,0.21,1319.54,11,4135
3.08,21.48,29,2324.07,297.09,2.3,2.41,5745.99,0.15,1380.62,10,1940
4.55,28.57,8,2151.07,399.93,0.86,3.25,5197.92,0.07,1304.9,9,2801
4.87,33.33,19,2599.04,421.0,2.47,3.25,6552.22,0.26,1530.09,10,2170
5.29,32.47,25,2571.36,452.81,1.91,3.57,6388.62,0.44,1438.16,16,2141
3.31,21.5,23,2469.75,302.66,1.78,2.6,5611.92,0.31,1303.63,10,3056
2.27,3.51,2,2175.11,294.55,1.61,2.19,3046.64,0.26,867.4,14,1800
3.04,6.86,7,2193.72,344.97,1.59,2.83,2665.95,0.2,992.8,13,2866
2.67,6.98,18,2235.69,304.07,2.64,2.48,3564.44,0.21,997.62,14,2944
2.83,28.57,12,2385.97,279.35,2.12,2.02,7082.26,0.26,1568.99,6,2003
2.7,7.32,6,2156.02,316.46,2.3,2.5,3181.35,0.16,1231.46,9,2836
3.88,14.84,19,2477.54,407.86,2.38,3.3,4365.82,0.31,1049.98,14,3036
5.07,22.12,25,2509.26,501.43,2.88,3.95,5738.1,0.34,1270.67,14,2067
3.13,15.09,24,2550.94,307.02,1.47,2.66,4677.56,0.19,1288.46,13,3232
2.0,25.0,1,1437.1,296.81,1.0,1.5,7614.68,0.0,1443.77,6,1206
1.75,3.73,5,1812.65,222.52,1.8,1.69,2490.57,0.18,918.22,11,2535
2.14,22.22,2,1551.88,262.49,1.67,1.67,3786.6,0.11,1177.04,5,1307
1.92,8.57,6,2283.58,224.31,1.87,1.76,5177.85,0.16,1246.73,9,2942
2.01,10.62,34,2245.07,223.6,1.35,1.8,3169.04,0.24,1083.95,9,3857
3.4,36.71,29,2585.6,271.93,3.28,2.15,6680.92,0.23,1437.37,8,2173
4.17,36.84,7,1957.84,354.44,2.11,2.63,5544.82,0.11,1462.34,8,1642
7.09,35.29,6,2095.7,492.99,3.12,4.59,4959.31,0.18,1349.7,17,1717
4.37,11.83,11,2187.75,438.52,1.45,3.85,3026.6,0.23,1079.78,17,4445
5.64,31.15,19,2306.57,392.22,1.59,3.89,3825.26,0.18,1261.98,18,1892
2.07,5.84,15,2157.83,246.9,1.82,1.95,2758.24,0.23,891.2,12,5517
3.07,12.12,4,1913.9,326.63,4.33,2.7,5557.81,0.09,1354.57,8,2640
2.96,10.71,6,2113.44,288.18,2.23,2.64,4473.92,0.18,1086.82,11,1738
4.77,24.28,59,2607.04,429.28,2.51,3.61,6339.56,0.29,1278.08,16,3141
2.5,5.56,6,2224.73,318.73,1.64,2.36,4654.48,0.17,1085.76,13,1844
3.08,7.69,3,1814.08,332.23,2.08,2.85,3490.84,0.41,1083.08,13,1480
1.63,6.6,7,2276.84,176.35,1.27,1.52,3544.29,0.12,1036.9,9,3908
3.0,12.5,2,2086.17,306.7,2.44,2.62,4459.35,0.19,1064.22,9,1716
3.52,23.85,31,2667.22,331.96,2.52,2.68,5595.45,0.23,1346.44,10,2226
3.93,16.67,3,1865.42,446.85,3.44,3.28,3451.51,0.17,1131.61,11,1528
9.0,40.0,2,1456.61,681.46,1.0,5.4,5678.91,0.0,1286.46,11,1203
2.37,8.0,8,2305.85,287.75,1.48,2.18,3958.97,0.16,1239.65,10,1913
2.37,8.82,6,2041.07,261.26,1.04,2.16,3446.9,0.18,919.47,11,1669
3.97,30.61,15,2432.43,337.52,2.94,2.76,5981.27,0.22,1380.5,10,2025
3.44,13.51,5,1981.76,368.38,2.81,2.97,3723.02,0.35,1165.76,12,1632
2.37,11.82,13,2248.22,259.84,2.06,2.09,4098.04,0.22,1073.05,12,2874
1.44,5.64,11,2523.72,166.57,1.83,1.36,3730.67,0.19,1059.36,8,3271
2.39,11.43,4,1750.25,265.05,1.49,2.11,4083.46,0.17,1001.88,8,2503
4.86,19.44,7,2324.32,458.96,2.06,3.92,5586.82,0.14,1445.66,15,1921
3.98,24.07,13,2485.5,389.67,2.5,3.02,6477.88,0.19,1514.42,12,3063
2.96,14.81,4,2199.43,324.18,2.37,2.52,5190.55,0.11,1315.89,9,1830
3.37,21.57,55,2524.37,353.5,1.86,2.64,5534.63,0.25,1284.44,12,5056
